tender_name,tender_authority,application_start_date,tender_deadline,period,tender_location,date_published,tender_type,source_url,found_keywords,state
"Bewachung: Internationaes Beratungszentrum, Goethestr. 53 (VGSt1-5-2024-0036)",Z_Vergabestelle 1 Abt. 5,2024-11-07,09.12.24,not specified,not specified,07.11.24,Öffentliche Ausschreibung,https://vergabe.muenchen.de,Beratung,Bavaria
Studie zu Kurd*innen in München (DIR) (VGSt1-2-2024-0152),Vergabestelle 1 SG 2,2024-10-29,25.11.24,not specified,not specified,29.10.24,Öffentliche Ausschreibung,https://vergabe.muenchen.de,Studie,Bavaria
"Bewachung: Kommunale CityStreife: Seen, Grünanlagen, Parks (VGSt1-5-2024-0032)",Vergabestelle 1 Bewachung,2024-10-17,14.11.24,not specified,not specified,17.10.24,Offenes Verfahren,https://vergabe.muenchen.de,Grünanlage,Bavaria
Rahmenvereinbarung Fachberatung Multimodale Mobilitätsalternativen in Tarif und Ticketing (VGSt1-2-2024-0145),Vergabestelle 1 SG 2,2024-10-01,11.11.24,not specified,not specified,01.10.24,Öffentliche Ausschreibung,https://vergabe.muenchen.de,Beratung,Bavaria
24A0112 Ausstellungsbau,Staatliches Bauamt Nürnberg,2024-11-07,05.12.24,01.04.2025 until 15.08.2025,91154 Roth,07.11.24,not specified,https://www.myorder.rib.de,Ausstellung,Bavaria
189_24 Instandhaltung von städtischen Grünanlagen,Universitätsstadt Siegen,2024-11-08,06.12.24,05.03.2025 until 31.12.2025,57072 Siegen,06.11.24,not specified,https://www.myorder.rib.de,Grünanlage,North Rhine-Westphalia
"Planung, Organisation und Durchführung des Hennefer Stadtfestes Hennef",Stadtbetriebe Hennef,2024-11-07,21.11.24,not specified,not specified,07.11.24,UVgO TNW,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
Planungsleistungen Affenhaus,Zoo Duisburg gGmbH,2021-04-14,not specified,not specified,not specified,14.04.21,VgV Vergebener Auftrag,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
Service-Center Dienstleistungen: Angebotswettbewerb,Dortmunder Energie- und Wasserversorgung GmbH,2024-06-27,not specified,not specified,not specified,27.06.24,SektVO Vergebener Auftrag,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
2024-0615 Zukunftsgarten Duisburg IGA 2027 - Fachgutachterliche Begleitung der Erdbauarbeiten (4 Lose),Wirtschaftsbetriebe Duisburg - AöR im Namen und für Rechnung der Stadt Duisburg - Stabsstelle IGA,2024-10-31,03.12.24,not specified,not specified,31.10.24,VgV Ausschreibung,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
"LWL - Industriemuseum, Zeche Zollern; ""Kinderkeller"" Museumspädagogische Erlebniseinheit für Kinder; Brandschutztüren; 24-310 B",LWL - Bau- und Liegenschaftsbetrieb (LWL-BLB),2024-09-03,not specified,not specified,not specified,03.09.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
VE 300.22.3 Alternative Abdichtung,Allwetterbad der Stadt Monheim am Rhein GmbH,2024-07-18,not specified,not specified,not specified,18.07.24,VOB/A Vergebener Auftrag,https://www.evergabe.nrw.de,"Erlebnis, Freizeit",North Rhine-Westphalia
